City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Kazanskoye,RU,2022-06-16 04:21:09,55.6448,69.235,65.64,69,55,8.19
135,Anacortes,US,2022-06-16 04:21:09,48.5126,-122.6127,57.94,85,40,5.75
136,Broome,US,2022-06-16 04:21:10,42.2506,-75.833,74.66,63,20,8.05
137,Avarua,CK,2022-06-16 04:22:10,-21.2078,-159.775,77.05,78,11,5.75
138,Jieshi,CN,2022-06-16 04:22:10,22.8134,115.8257,82.11,81,100,12.8
139,Saint-Denis,FR,2022-06-16 04:22:11,48.9167,2.3333,65.14,75,0,8.05
140,Vostok,RU,2022-06-16 04:22:11,46.4856,135.8833,69.24,60,87,3.33
141,Jibuti,DJ,2022-06-16 04:22:12,11.5,42.5,84.92,49,74,2.37
142,Qaqortoq,GL,2022-06-16 04:22:12,60.7167,-46.0333,38.25,79,2,2.46
143,Faanui,PF,2022-06-16 04:22:13,-16.4833,-151.75,80.76,71,9,17.02
144,Ponta Do Sol,PT,2022-06-16 04:22:13,32.6667,-17.1,67.01,73,38,6.51
145,Samarai,PG,2022-06-16 04:22:14,-10.6167,150.6667,80.78,83,63,11.86
146,Castro,BR,2022-06-16 04:22:14,-24.7911,-50.0119,50.43,90,9,1.95
147,Tuktoyaktuk,CA,2022-06-16 04:22:15,69.4541,-133.0374,41.0,75,20,13.8
148,Los Llanos De Aridane,ES,2022-06-16 04:22:15,28.6585,-17.9182,64.15,84,0,5.01
149,Koslan,RU,2022-06-16 04:22:16,63.4564,48.8989,61.39,95,100,6.96
150,Codrington,AU,2022-06-16 04:22:16,-38.2667,141.9667,57.65,79,46,15.21
151,Ixtapa,MX,2022-06-16 04:18:32,20.7,-105.2,78.22,94,100,4.61
152,Banda Aceh,ID,2022-06-16 04:22:17,5.5577,95.3222,84.02,63,98,1.25
153,Faro,PT,2022-06-16 04:22:18,37.0194,-7.9322,66.18,82,0,8.05
