City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Yeppoon,AU,-23.1333,150.7333,56.98,81,100,7.87,overcast clouds
322,Lahan,NP,26.7296,86.4951,78.75,88,58,1.97,broken clouds
323,Iqaluit,CA,63.7506,-68.5145,41.7,56,6,24.0,clear sky
324,Atambua,ID,-9.1061,124.8925,71.98,89,78,5.68,broken clouds
325,Saldanha,ZA,-33.0117,17.9442,58.73,49,100,10.94,overcast clouds
326,Lagunas,PE,-5.2269,-75.6753,89.6,42,12,1.41,few clouds
327,Bathsheba,BB,13.2167,-59.5167,86.61,70,75,19.57,broken clouds
328,Sibolga,ID,1.7427,98.7792,77.04,85,100,2.57,overcast clouds
329,Pasighat,IN,28.0667,95.3333,72.68,99,100,2.3,overcast clouds
330,Brae,GB,60.3964,-1.353,54.97,84,100,6.15,overcast clouds
331,Chigorodo,CO,7.6664,-76.6811,83.32,84,77,5.28,broken clouds
332,Ust-Uda,RU,54.1742,103.0304,58.51,94,72,0.38,broken clouds
333,Rio Gallegos,AR,-51.6226,-69.2181,38.28,63,20,31.34,few clouds
334,Lumby,CA,50.2498,-118.969,64.04,97,100,6.22,overcast clouds
335,Puerto Escondido,MX,15.85,-97.0667,83.23,57,100,11.5,overcast clouds
336,Moberly,US,39.4184,-92.4382,94.98,48,0,7.0,clear sky
337,Alofi,NU,-19.0595,-169.9187,78.69,83,20,8.05,few clouds
338,Narsaq,GL,60.9167,-46.05,55.62,64,48,7.83,scattered clouds
339,Faanui,PF,-16.4833,-151.75,80.42,66,0,17.76,clear sky
340,Stolin,BY,51.8912,26.846,55.65,84,90,3.89,overcast clouds
341,Guliston,UZ,40.4897,68.7842,78.55,39,91,8.1,overcast clouds
342,Grindavik,IS,63.8424,-22.4338,48.67,76,75,20.71,broken clouds
343,Guatire,VE,10.4762,-66.5427,86.2,75,86,2.37,overcast clouds
344,Ugoofaaru,MV,5.6667,73.0,82.89,76,98,13.47,overcast clouds
345,Makakilo City,US,21.3469,-158.0858,82.72,67,75,11.5,broken clouds
346,Gizo,SB,-8.103,156.8419,81.36,77,98,7.74,overcast clouds
